#
# language file for rss_feed plugin
#

plugins_rss_feed|RSS Feed
An default RSS Feed as source|Ein gew&ouml;hnliches RSS Feed
Source|Quelle
Default|Standardquellen

plugins_rss_multimedia|RSS Feed f&uuml;r Bilder
An default RSS Feed for aggregating Images and Photos|Ein standard RSS Feed das Bilder und Fotos zum sammeln enth&auml;lt

plugins_rss_feedfix|RSS Feed f&uuml;r fehlerhafte Feeds
An default RSS Feed which works without date in feeds. Use this if items appear twice.|Ein standard RSS Feed das auch ohne Datum im RSS Feed auskommt. Nutze dieses, wenn Beitr&auml;ge doppelt erscheinen.
